major,smartphone age,number countries,Avatar: The Way of Water,Avengers: Endgame,Back to the Future,Barbie,Booksmart,Deadpool and Wolverine,Dune,Encanto,Everything Everywhere All at Once,Frozen,Get Out,Inside Out 2,Interstellar,Knives Out,Lady Bird,My Neighbor Totoro,Spider-Man: Across the Spiderverse,Star Wars: The Rise of Skywalker,The Matrix,Titanic
EE,12,5.0,4,5,,4,,5,4,5,,5,,,,3,2,,5,3,4,3
CE,10,20.0,,4,,2,,5,4,,,2,,3,4,5,,,4,,3,
ME,11,2.0,5,4,,3,,,4,4,,4,5,4,,,4,,4,,5,5
ME,12,3.0,,5,,5,,4,4,3,5,3,,4,,,,,5,,,
BME,13,3.0,3,4,3,3,,4,4,,5,3,,,,,,,2,4,4,
BME,10,5.0,3,4,,,,5,5,,,,,,,,,,,,,
BME,10,10.0,5,5,,3,,5,,4,5,4,4,3,5,4,,5,5,5,,
EE,10,8.0,5,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3
ME,15,20.0,4,5,4,3,,5,5,,5,2,,3,5,5,,,,5,4,3
ME,13,3.0,1,,,,,,,,,,,,,,,,,,,
CE,15,,4,5,4,,,4,4,,5,5,3,5,5,,,5,5,,4,
ME,10,4.0,,5,3,4,,,,,,4,,,,4,3,,,,,
ME,16,8.0,,3,3,4,,4,5,5,5,4,4,,5,5,5,5,5,1,3,
ME,10,7.0,4,5,,,,3,,,,3,,,4,5,,,5,2,,
EE,11,6.0,,,,,,,4,,2,,,,5,4,5,,4,,,4
CE,16,20.0,,4,5,4,,4,5,,5,3,,,5,4,,4,,1,4,
ME,11,3.0,5,5,,4,,,,3,,3,,3,4,,,,4,,,3
CE,12,1.0,4,5,,4,,5,,3,,3,5,4,5,,,,5,,,3
ME,14,18.0,5,5,,4,5,4,5,,4,4,5,2,5,,,5,5,3,4,5
BME,13,9.0,,,,4,,,,,,,,,,,,,,,,
CE,17,6.0,4,3,4,2,,4,4,5,5,5,,3,5,4,,,4,4,5,5
EE,15,4.0,,5,,,,,,,,2,,3,4,,,,4,,,
EE,12,10.0,5,5,,3,,4,4,,,4,5,5,5,4,,,5,,5,4
ME,11,10.0,5,,,,,,,,,5,,,,,,,,,,
BME,12,5.0,,,4,,,,,,,1,,,3,,,2,,,3,3
BME,10,12.0,5,3,,3,,5,5,3,4,5,4,5,5,,4,5,5,4,5,3
BME,10,8.0,,4,5,5,3,3,5,4,,5,3,4,5,5,5,,5,2,1,1
EE,15,4.0,,4,5,,,4,5,5,4,5,4,,5,4,,3,5,1,4,3
ME,12,2.0,,3,4,,,,4,3,5,5,,3,4,2,,4,5,,,
BME,12,10.0,5,,,4,,,,,,3,3,,,,,,,4,,5
ME,11,22.0,4,4,5,,,4,4,,,3,4,,5,5,,,5,3,4,
ME,10,4.0,4,3,3,2,4,,4,3,5,2,4,3,,4,4,5,3,,5,
ME,11,16.0,5,,,4,,,,5,4,4,4,5,,,3,,,,,3
ME,14,2.0,4,5,,,,5,,,,5,,3,,,,,4,,,
ME,13,1.0,,5,,,,,,,3,5,,,,5,,,4,,,
CE,13,3.0,3,5,,4,,4,,,5,5,,5,,,,5,5,,,
ME,14,6.0,4,4,3,3,,5,,,3,3,,,,4,,4,5,1,,
ME,16,5.0,,,,,,4,4,,,4,,,,,,,5,,,
ME,12,36.0,5,4,,2,,,4,,,4,,,,,,,5,5,2,
ME,14,,5,,,,,,,,,,,,,,,,,,,
ME,10,3.0,,5,4,5,,5,3,5,5,5,4,5,4,4,4,5,5,4,5,3
ME,13,6.0,3,4,5,2,,,,,,4,5,,5,5,,,2,2,3,4
EE,14,10.0,,5,5,,,3,5,,,3,,,5,5,,,5,2,4,5
ME,9,1.0,,4,4,4,,4,,5,,5,5,3,,,,,4,2,3,4
EE,14,8.0,4,4,,3,,4,5,,,4,,4,5,4,,,4,2,,
ME,7,3.0,,4,5,,,,4,,5,4,4,,3,4,3,,4,4,3,3
EE,12,4.0,,4,,5,,,,,,,,,5,,,,,1,1,
ME,12,7.0,5,3,5,4,,,,,4,5,4,5,5,,,,,,,
Undecided,13,8.0,,,4,,,,,,,,,,,,,,,,,
ME,10,1.0,,4,3,3,,,,4,,4,,,,,,5,4,,,
ME,13,4.0,5,4,4,,,4,5,,5,4,,,5,4,,4,4,1,5,
ME,12,6.0,,4,5,4,,,,3,5,3,5,,5,5,,5,5,3,4,
BME,9,3.0,4,,,3,,,,4,4,4,5,4,5,,,,,,5,
ME,13,7.0,4,,5,,,,,,,4,4,5,,,,,,4,5,5
ME,13,12.0,,5,5,,,2,4,4,4,3,5,,5,,,,5,1,4,3
EE,16,7.0,,5,5,,,4,,4,,4,,,,,,,5,2,4,
EE,11,1.0,,5,4,,,,,3,,2,,,,,,,5,4,3,3
BME,11,6.0,4,5,5,,,5,,,,,,,5,,,5,5,5,5,4
BME,12,2.0,5,,,,,,,,,3,,,,,,,,,,
ME,11,1.0,,4,,4,,4,,,,3,5,,5,,,4,5,,,
BME,13,2.0,3,5,,2,,,,,4,3,,,4,,,,5,1,4,4
ME,13,8.0,4,3,4,2,,3,,,,2,,3,5,,,,4,4,4,5
ME,14,2.0,4,,,4,,,,4,,3,5,5,5,,4,,,,,4
ME,15,7.0,4,3,5,3,5,4,4,,,4,4,4,,,,5,5,5,5,5
ME,14,4.0,4,4,3,3,3,4,5,3,3,3,3,3,5,3,3,3,5,4,3,3
ME,8,8.0,,5,4,3,,,,,,,,,,,,,,,,
ME,10,,5,5,,4,,,,,5,4,,5,5,,5,5,5,5,4,5
EE,10,3.0,,4,4,5,,4,,4,,4,4,,,4,5,4,5,4,4,4
EE,9,1.0,3,5,,3,,2,4,5,3,5,5,4,5,,,,4,,,3
CE,12,11.0,,4,,,,,,,2,3,,,4,,,,5,,4,
ME,11,17.0,,,4,,,,,,,5,4,,4,,,,4,,,4
BME,7,2.0,,4,,4,,,,4,,4,,4,,,,5,4,,,
ME,12,6.0,,,,,,,,,,,,,,,,,,,,
ME,10,3.0,4,4,,4,4,5,4,5,,4,5,4,5,4,5,,5,5,4,3
ME,13,1.0,,4,5,,,4,,,5,4,5,4,,,,,4,4,,
BME,14,4.0,,5,5,,,,4,,5,3,,,5,,,5,,2,,
CE,12,2.0,,,,4,,,,1,4,3,,,,,,,2,,,4
ME,14,6.0,,,,,,,,,,,,,,,,,,,,
ME,14,10.0,,4,,,,,2,,1,1,5,,2,,,,,5,5,2
ME,12,3.0,,3,4,,,5,3,,,4,,4,5,4,,,5,3,5,3
ME,13,2.0,,5,4,4,,5,,,,4,,4,5,4,3,,5,3,,4
ME,12,3.0,,3,4,,,,5,5,,3,5,,5,,,5,,,5,3
BME,11,2.0,,4,4,4,,,,,,,,,,,,,,,,
BME,13,4.0,3,3,3,4,,5,5,,,2,5,,4,5,,,5,1,4,
ME,10,1.0,5,5,,4,,,,4,,5,2,4,,,,5,5,,,3
ME,12,29.0,5,4,5,3,,4,,5,3,3,5,5,5,,,5,5,5,5,5
BME,12,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
EE,13,8.0,,4,5,5,,4,5,,,3,,,,5,,,5,2,4,
ME,14,2.0,,4,,,,4,,4,,2,,,,,,,5,1,,
EE,12,1.0,,4,,,,,3,,5,3,,4,,4,,,5,,,
CE,9,5.0,,4,,,,,,,,4,,,,,,,,5,5,4
BME,14,,4,5,3,4,3,5,4,3,,,,,,,,,,,,
EE,13,5.0,,,4,,,,,,,3,,,,,,,,,4,
BME,12,10.0,2,3,,,,4,3,,,2,4,,5,,,5,3,,,3
ME,12,2.0,5,5,4,3,,,,4,2,3,,4,5,5,,,5,,4,3
